L1,L2,L3,AIC,MAE,RMSE,R2,TTP
144,256,192,-32132.8786,0.202190001,0.30861542,0.608448307,7077894
200,128,128,-32127.5143,0.202314393,0.308675974,0.608294638,3276806
88,192,64,-32126.0659,0.200806256,0.308692326,0.608253136,1081350
200,192,128,-32125.87848,0.200471572,0.308694442,0.608247765,4915206
32,128,128,-32124.03413,0.201482816,0.308715265,0.608194911,524294
88,128,128,-32122.10165,0.200989341,0.308737086,0.608139523,1441798
200,128,256,-32117.15681,0.200907809,0.308792926,0.60799776,6553606
144,0,0,-32067.99994,0.201777108,0.309348589,0.606585699,6
144,0,0,-31838.3836,0.200962847,0.311957418,0.59992216,6
144,0,64,-31975.53849,0.200608408,0.310396473,0.603915891,6
144,0,64,-32088.36574,0.201374868,0.309118256,0.607171335,6
144,0,128,-32191.55544,0.201992339,0.307953831,0.610125272,6
144,0,128,-32160.6413,0.200534157,0.308302215,0.609242653,6
144,0,192,-31886.79776,0.200259348,0.311405527,0.60133648,6
144,0,192,-32014.32546,0.200476549,0.309956461,0.605038056,6
144,0,256,-31806.00704,0.20100683,0.312327036,0.598973546,6
144,0,256,-31931.25012,0.203577315,0.310899659,0.602630662,6
144,64,0,-31967.23171,0.200753341,0.310490789,0.603675149,6
144,64,0,-32001.67516,0.200771728,0.310099902,0.604672414,6
32,256,192,-32114.74477,0.20151929,0.308820168,0.607928591,1572870
32,128,128,-32112.64206,0.200213107,0.308843919,0.607868283,524294
256,128,256,-32111.96511,0.201124636,0.308851565,0.607848865,8388614
88,128,256,-32111.87261,0.200958358,0.30885261,0.607846211,2883590
88,192,64,-32111.71661,0.200632154,0.308854372,0.607841736,1081350
200,64,64,-32111.53609,0.200483521,0.308856412,0.607836558,819206
32,128,192,-32108.72249,0.201454523,0.308888196,0.607755839,786438
88,128,64,-32108.69671,0.201021373,0.308888487,0.6077551,720902
144,128,0,-32066.2354,0.201228335,0.309368554,0.606534917,6
144,128,0,-31850.34468,0.201320985,0.311820978,0.600272044,6
256,64,256,-32102.96787,0.202309925,0.308953214,0.607590695,4194310
256,192,128,-32098.36019,0.201744335,0.309005283,0.607458415,6291462
200,128,128,-32098.16139,0.201281502,0.30900753,0.607452706,3276806
256,64,128,-32096.14225,0.200935109,0.30903035,0.607394725,2097158
144,192,192,-32095.38718,0.202029853,0.309038884,0.60737304,5308422
